,icc,pval
wavelet-HHH_glrlm_RunPercentage,0.8908568951050491,0.11105082929134369
wavelet-HHH_glrlm_ShortRunEmphasis,0.8892713198506114,0.10562613606452942
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.9596454794480496,0.5460176914930344
wavelet-HHH_glszm_GrayLevelNonUniformity,0.948864615240827,0.39974282681941986
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.8440965870110124,0.4698396325111389
wavelet-HHH_glszm_GrayLevelVariance,0.8908897557766329,1.0
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.9581768427999137,0.4846055656671524
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.8770734355620272,0.31257040798664093
wavelet-HHH_glszm_SizeZoneNonUniformity,0.8390561441838662,0.3483276069164276
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.9576276998946129,0.4553176909685135
wavelet-HHH_glszm_ZoneEntropy,0.8876245474414006,0.8039880394935608
wavelet-HHH_glszm_ZonePercentage,0.9168806004341623,0.1854744255542755
wavelet-HHH_ngtdm_Busyness,0.9519662888970306,0.2290707677602768
wavelet-HHH_ngtdm_Coarseness,0.8896638497093412,0.06548145413398743
wavelet-HHH_ngtdm_Complexity,0.8518639131934227,0.8407831341028214
wavelet-HHH_ngtdm_Contrast,0.7559001863205334,0.82233826816082
wavelet-HHH_ngtdm_Strength,0.9137058372073398,0.3607836216688156
wavelet-HHL_firstorder_10Percentile,0.9006082064616365,0.8779177963733673
wavelet-HHL_firstorder_90Percentile,0.892629531498626,0.9717257022857666
wavelet-HHL_firstorder_Entropy,0.9243927374924762,0.9528931677341461
wavelet-HHL_firstorder_InterquartileRange,0.887361623831434,0.7317177355289459
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.908325658043069,0.7857417166233063
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.8927383374862681,0.7857417166233063
wavelet-HHL_firstorder_RootMeanSquared,0.917928675805795,0.39974282681941986
wavelet-HHL_firstorder_Uniformity,0.9137477074137593,0.6109333634376526
wavelet-HHL_firstorder_Variance,0.8778516841013171,0.3607836216688156
wavelet-HHL_glcm_ClusterProminence,0.8227675167422043,0.06548145413398743
wavelet-HHL_glcm_ClusterTendency,0.8833365171618418,0.29008127748966217
wavelet-HHL_glcm_Contrast,0.878706366280368,0.5460176914930344
wavelet-HHL_glcm_Correlation,0.904966229147668,0.39974282681941986
wavelet-HHL_glcm_DifferenceAverage,0.9101853932323904,0.8779177963733673
